YEAR,DISTRICT,UPAZILA/THANA,EIIN,INSTITUTE NAME,CLASS_SIX_AGE_UNDER11,CLASS_SIX_AGE11,CLASS_SIX_AGE12,CLASS_SIX_AGE13,CLASS_SIX_AGE14,CLASS_SIX_AGE15,CLASS_SIX_AGE_UPER15,CLASS_SEVEN_AGE_UNDER11,CLASS_SEVEN_AGE11,CLASS_SEVEN_AGE12,CLASS_SEVEN_AGE13,CLASS_SEVEN_AGE14,CLASS_SEVEN_AGE15,CLASS_SEVEN_AGE_UPER15,CLASS_EIGHT_AGE_UNDER11,CLASS_EIGHT_AGE11,CLASS_EIGHT_AGE12,CLASS_EIGHT_AGE13,CLASS_EIGHT_AGE14,CLASS_EIGHT_AGE15,CLASS_EIGHT_AGE_UPER15,CLASS_NINE_AGE_UNDER11,CLASS_NINE_AGE11,CLASS_NINE_AGE12,CLASS_NINE_AGE13,CLASS_NINE_AGE14,CLASS_NINE_AGE15,CLASS_NINE_AGE_UPER15,CLASS_TEN_AGE_UNDER11,CLASS_TEN_AGE11,CLASS_TEN_AGE12,CLASS_TEN_AGE13,CLASS_TEN_AGE14,CLASS_TEN_AGE15,CLASS_TEN_AGE_UPER15
2016,NAOGAON,MAHADEBPUR,123349,KHANPUR HAZI DHANEJ UDDIN HIGH SCHOOL,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0
2016,NAOGAON,MAHADEBPUR,123350,MOHINAGAR HIGH SCHOOL,15.0,23.0,16.0,3.0,2.0,0.0,0.0,2.0,20.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,6.0,0.0,0.0,0.0,0.0,10.0,14.0,1.0,4.0,0.0,0.0,0.0,0.0,12.0,16.0,8.0
2016,NAOGAON,MAHADEBPUR,123351,UTTAR GRAM B/L HIGH SCHOOL,0.0,40.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0
2016,NAOGAON,MAHADEBPUR,123352,GAHALI  BI LATERAL HIGH SCHOOL,14.0,20.0,31.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,25.0,0.0,0.0,0.0,0.0,0.0,56.0,24.0,2.0,0.0,0.0,0.0,0.0,3.0,68.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,8.0,0.0
2016,NAOGAON,MAHADEBPUR,123353,DEBARPUR D.N.G HIGH SCHOOL,3.0,2.0,20.0,24.0,4.0,1.0,1.0,0.0,2.0,12.0,13.0,2.0,3.0,1.0,0.0,0.0,3.0,6.0,3.0,20.0,1.0,0.0,0.0,0.0,3.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,31.0,9.0
2016,NAOGAON,MAHADEBPUR,123354,BILCHARA R. C. P. HIGH SCHOOL,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
2016,NAOGAON,MAHADEBPUR,123355,PANTHAKATA HIGH SCHOOL,5.0,42.0,27.0,0.0,0.0,0.0,0.0,0.0,6.0,60.0,13.0,0.0,0.0,0.0,0.0,0.0,14.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,0.0
2016,NAOGAON,MAHADEBPUR,123356,KHAJUR U.P. HIGH SCHOOL,97.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,41.0,8.0,0.0,0.0,0.0,0.0,2.0,40.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,55.0,19.0,0.0,0.0,0.0,0.0,0.0,28.0,32.0,0.0
2016,NAOGAON,MAHADEBPUR,123357,KURAIL SHERE BANGLA HIGH SCHOOL,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0
2016,NAOGAON,MAHADEBPUR,123359,RASULPUR HIGH SCHOOL,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
